system:index,classification,.geo
237,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91521397512297,50.9407199008015]}"
238,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91530380665138,50.9407199008015]}"
239,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9153936381798,50.9407199008015]}"
240,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9154834697082,50.9407199008015]}"
241,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91557330123662,50.9407199008015]}"
242,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91566313276503,50.9407199008015]}"
243,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91575296429345,50.9407199008015]}"
244,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91584279582186,50.9407199008015]}"
245,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91593262735026,50.9407199008015]}"
246,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91602245887867,50.9407199008015]}"
247,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91611229040709,50.9407199008015]}"
248,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9162021219355,50.9407199008015]}"
249,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91629195346391,50.9407199008015]}"
250,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91638178499232,50.9407199008015]}"
251,14,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91647161652074,50.9407199008015]}"
252,14,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91656144804915,50.9407199008015]}"
253,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91665127957756,50.9407199008015]}"
254,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91674111110598,50.9407199008015]}"
255,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91683094263439,50.9407199008015]}"
256,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91692077416279,50.9407199008015]}"
257,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91377667066838,50.94080973232991]}"
258,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9138665021968,50.94080973232991]}"
